Brinco,Peso,Leite,Date
3030,684,39,10
3030,703,39.4,11
3030,703,37,11
3030,703,42.7,11
3030,710,0,12
3030,710,10.4,12
3038,671,32.4,3
3038,671,35.8,3
3038,671,38.3,3
3038,671,36.2,3
3038,674,41.4,4
3038,674,42.1,4
3038,674,39.5,4
3038,669,35.4,5
3038,669,37.3,5
3038,669,35.5,5
3038,658,32.9,7
3038,658,31,7
3038,658,29.6,7
3038,689,28.5,8
3038,689,28.5,8
3038,689,21.9,8
3038,706,24.4,9
3038,706,27.5,9
3063,685,36.3,9
3063,685,41.6,9
3063,685,40.5,9
3063,676,40.3,10
3063,676,38.2,10
3063,676,39.9,10
3063,676,43.2,10
3063,652,35.8,11
3063,652,38.1,11
3063,652,38.3,11
3063,679,38.5,12
3063,679,41.3,12
3063,727,41.8,1
3063,727,43.8,1
3063,727,40.4,1
3063,696,34.6,2
3063,696,35,2
3063,696,34.6,2
3122,639,34.5,2
3122,639,46.6,2
3122,639,44.3,3
3122,639,49.9,3
3122,639,52.8,3
3122,639,54.1,3
3122,652,51.3,4
3122,652,55.6,4
3122,652,53,4
3122,661,51.6,5
3122,661,59,5
3122,661,56.5,5
3122,663,52.5,7
3122,663,45,7
3122,663,53.4,7
3122,683,39,8
3122,683,39,8
3122,683,40.8,8
3122,701,41.1,9
3122,701,21.9,9
3122,701,38.6,9
3122,668,36.7,10
3122,668,37.7,10
3122,668,41.3,10
3122,668,40.1,10
3122,677,40.5,11
3122,677,39.1,11
3122,677,35.8,11
3122,679,39.5,12
3122,679,44.3,12
3122,761,39.8,1
3122,761,38.7,1
3122,761,29.8,1
3122,639,28.2,2
3122,639,23.6,2
3122,639,25.2,2
3142,625,22.2,1
3142,625,21.9,1
3142,639,25.4,2
3142,639,24.7,2
3142,639,20.4,2
3142,639,18.7,3
3142,639,22,3
3142,639,19.9,3
3142,639,21.7,3
3142,653,22,4
3142,653,25.3,4
3142,653,24.2,4
3142,754,26.2,11
3142,703,39.5,12
3142,703,40.6,12
3142,625,41.9,1
3142,625,40.5,1
3142,625,40.9,1
3142,639,30.4,2
3142,639,38.9,2
3142,639,36.8,2
3482,736,23.9,1
3482,736,23.3,1
3482,740,24.4,2
3482,740,25.6,2
3482,740,25.6,2
3482,740,25.7,3
3482,740,21.8,3
3500,615,40.1,9
3500,615,42.7,9
3500,615,45.3,9
3500,634,43.3,10
3500,634,38.9,10
3500,634,42.8,10
3500,634,40.2,10
3500,623,39.5,11
3500,623,39.7,11
3500,623,43.8,11
3500,620,39.8,12
3500,620,40.2,12
3500,606,42.1,1
3500,606,38.8,1
3500,606,37.5,1
3500,637,33.8,2
3500,637,35.2,2
3500,637,31.3,2
3451,613,25,1
3451,613,23.9,1
3451,636,24.5,2
3451,636,20.4,2
3451,636,19.6,2
3451,636,17.9,3
3579,675,30.3,1
3579,675,29.6,1
3579,677,28.2,2
3579,677,32.7,2
3579,677,34.1,2
3579,677,30.7,3
3579,677,33.5,3
3579,677,35,3
3579,677,33.3,3
3148,617,40,1
3148,617,42.4,1
3148,605,46,2
3148,605,44.9,2
3148,605,48.1,2
3148,605,44.5,3
3148,605,43.3,3
3148,605,44.8,3
3148,605,43.9,3
3148,633,41.1,4
3148,633,48.7,4
3148,633,42.8,4
3148,604,41.8,5
3148,604,33.7,5
3148,604,35.9,5
3148,629,44.9,7
3148,629,36.7,7
3148,629,43.8,7
3148,630,34.8,8
3148,630,34.8,8
3148,630,38.1,8
3148,680,36.8,9
3148,680,41.3,9
3148,680,41.5,9
3148,638,38.1,10
3148,638,37.4,10
3148,638,37.1,10
3148,638,42.3,10
3148,655,31.7,11
3148,605,34.5,2
3148,605,38.8,2
3148,605,38.7,2
3650,638,24.6,1
3650,638,23.9,1
3650,654,24.9,2
3650,654,23.3,2
3650,654,21.1,2
3650,654,19.8,3
3650,654,19.1,3
3650,654,22.2,3
3653,722,39.4,4
3653,722,43.1,4
3653,701,52.1,5
3653,701,44,5
3653,701,49.5,5
3653,705,40,7
3653,705,36.1,7
3653,705,44.9,7
3653,731,34.4,8
3653,731,34.4,8
3653,731,32.3,8
3653,755,38.2,9
3653,755,50.5,9
3653,755,33.1,9
3653,757,36.2,10
3785,602,45.4,1
3785,602,44.6,1
3785,585,52.3,2
3785,585,48.2,2
3785,585,52.3,2
3785,585,48.8,3
3785,585,48.6,3
3785,585,46.4,3
3785,585,46.1,3
3785,557,33.4,4
3785,557,42.5,4
3785,557,37.4,4
3785,616,38.9,5
3785,616,39,5
3785,616,34,5
3785,594,36.8,7
3785,594,32.5,7
3785,594,27.8,7
3785,644,28.1,8
3785,644,28.1,8
3785,644,32.5,8
3785,681,27.3,9
3785,681,27.8,9
3789,671,37.6,2
3789,671,42,2
3789,671,46.1,2
3789,671,43.1,3
3789,671,44.1,3
3789,671,42.9,3
3789,671,44.6,3
3789,700,42.8,4
3789,700,45.6,4
3789,700,48.3,4
3789,682,41.5,5
3789,682,46.9,5
3789,682,41.7,5
3789,685,43.8,7
3789,685,36.4,7
3789,685,37.4,7
3789,713,34.2,8
3789,713,34.2,8
3789,713,33.1,8
3789,750,28.3,9
3789,750,31,9
4019,645,39.1,1
4019,645,38,1
4019,667,42.4,2
4019,667,38.3,2
4019,667,40,2
4019,667,38.8,3
4019,667,38.3,3
4019,667,35.4,3
4019,667,32.3,3
4073,540,28.8,1
4073,585,27.5,2
4073,585,30.5,2
4073,585,32.9,2
4073,585,33.2,3
4073,585,26.9,3
4073,585,23.1,3
4073,585,30.6,3
4076,696,36.1,1
4076,696,42.2,1
4076,727,46,2
4076,727,38.2,2
4076,727,49.1,2
4076,727,46.1,3
4076,727,49.8,3
4076,727,40.7,3
4076,727,48,3
4076,711,41.8,4
4076,711,46.3,4
4076,711,42.2,4
4076,707,47.9,5
4076,707,50.7,5
4076,707,44.5,5
4076,727,39.6,7
4076,727,36.2,7
4076,727,41.7,7
4076,740,23,8
4076,740,23,8
4076,740,23.6,8
4076,756,24.6,9
4076,756,19.2,9
4100,623,29.7,1
4100,623,30.1,1
4100,624,31.2,2
4100,624,28.3,2
4100,624,27,2
4100,624,25.6,3
4100,607,36.6,4
4100,617,35.8,5
4100,617,38.8,5
4100,617,38,5
4111,639,2.5,1
4111,662,14,2
4111,662,15.1,2
4111,662,18.4,2
4111,662,17.7,3
4111,662,21.8,3
4111,662,21.9,3
4111,662,26.2,3
4111,704,21.8,4
4111,704,25.2,4
4111,704,26.5,4
4111,732,30.2,5
4111,732,31.8,5
4111,732,27.5,5
4111,760,31.2,7
4111,760,27.1,7
4111,760,28,7
4111,781,23.7,8
4111,781,23.7,8
4111,781,23,8
4111,799,22.6,9
4111,799,24.2,9
4111,799,20.4,9
4111,824,19,10
4111,824,18.6,10
4111,787,16,12
4111,639,42.9,1
4111,639,42,1
4111,639,42.7,1
4111,662,29.1,2
4111,662,41.4,2
4111,662,34.3,2
4118,666,24.8,1
4118,666,25.4,1
4118,639,24.4,2
4118,639,24.2,2
4118,639,23.9,2
4118,639,20.6,3
4118,639,17.7,3
4118,639,22.1,3
4118,639,24.2,3
4118,615,25,4
4118,615,23.3,4
4136,695,27.3,1
4136,695,25,1
4136,748,30.9,2
4136,748,34.9,2
4136,748,37.8,2
4136,748,34.8,3
4136,748,40,3
4136,748,38.5,3
4136,748,41.8,3
4136,756,41.9,4
4136,756,48.1,4
4136,756,40.6,4
4136,742,39.7,5
4136,742,49.6,5
4136,742,41.5,5
4136,739,46.8,7
4136,739,42.1,7
4136,739,39.3,7
4136,752,41.7,8
4136,752,41.7,8
4136,752,39.4,8
4136,773,42.1,9
4136,773,42.4,9
4136,773,43.4,9
4136,780,44.3,10
4136,780,44.3,10
4136,780,38.6,10
4136,780,38.3,10
4136,769,39.7,11
4136,769,38.3,11
4136,769,38.2,11
4136,798,33.7,12
4136,798,38.1,12
4136,695,35.2,1
4136,695,37.3,1
4136,695,31,1
4136,748,30.3,2
4136,748,30.2,2
4136,748,27.8,2
4123,688,13.4,2
4123,688,28.7,2
4123,688,30.1,3
4123,688,28.4,3
4123,688,30.3,3
4123,688,25.1,3
4123,715,30.1,4
4123,715,30.6,4
4123,715,26.9,4
4123,725,25.7,5
4123,725,31.9,5
4123,725,29.7,5
4123,729,32.2,7
4123,729,27.9,7
4123,729,32.1,7
4123,780,28.1,8
4123,780,28.1,8
4123,780,27.2,8
4123,798,30.4,9
4123,798,29,9
4123,798,28.8,9
4123,770,30,10
4123,770,31,10
4123,770,28.1,10
4123,770,26.9,10
4123,818,25.9,11
4123,818,20,11
4123,818,28.1,11
4123,802,23.2,12
4123,802,25.4,12
4123,706,24.7,1
4123,706,21.7,1
4123,706,21.6,1
4117,728,35.7,1
4117,728,38.4,1
4117,707,40.3,2
4117,707,38.4,2
4117,707,38.2,2
4117,707,42.8,3
4117,707,40.1,3
4117,707,41.4,3
4117,707,36.8,3
4117,735,40.1,4
4117,735,42.4,4
4117,735,41.2,4
4117,724,38.7,5
4117,724,42.8,5
4117,724,35.7,5
4117,760,43.4,7
4117,760,33,7
4117,760,38.8,7
4117,795,32.8,8
4117,795,32.8,8
4117,795,30.5,8
4117,820,27.4,11
4117,820,48.7,11
4117,820,54.9,11
4117,720,54.5,12
4117,720,51.7,12
4117,728,63.3,1
4117,728,55.2,1
4117,728,49.5,1
4117,707,51.2,2
4117,707,49,2
4117,707,51.6,2
4158,667,31.9,1
4158,667,29.8,1
4158,674,32.1,2
4158,674,33.2,2
4158,674,33.3,2
4158,674,33.2,3
4158,674,33.4,3
4158,674,21,3
4158,674,28.4,3
4158,632,32,4
4158,632,31.7,4
4158,632,32.9,4
4158,641,31.2,5
4158,641,33.2,5
4158,641,29.4,5
4158,649,33.2,7
4158,649,31.8,7
4158,649,31.7,7
4158,696,32.3,8
4158,696,32.3,8
4158,696,28,8
4158,720,27.1,9
4158,720,23.5,9
4158,705,22.5,11
4158,705,34.8,11
4158,671,41.1,12
4158,671,43.4,12
4158,667,46.9,1
4158,667,45.8,1
4158,667,40,1
4158,674,40.7,2
4158,674,44.9,2
4158,674,42.9,2
4469,611,32.9,1
4469,611,32.7,1
4157,827,33,3
4157,827,41.4,3
4157,827,42.2,3
4157,753,45.1,4
4157,753,47.9,4
4157,753,42.6,4
4157,761,43.9,5
4157,761,45.4,5
4157,761,43.6,5
4157,796,28.8,10
4157,796,32.6,10
4157,796,35.4,10
4157,796,33.1,10
4157,824,33.6,11
4157,824,33.1,11
4157,824,34.5,11
4157,823,33.8,12
4157,823,35.9,12
4157,833,35.8,1
4157,833,31.7,1
4157,833,28.8,1
4157,827,30.5,2
4157,827,31,2
4157,827,30.9,2
4490,690,27.6,1
4490,690,27.7,1
4490,692,25.9,2
4490,692,26,2
4490,692,26.1,2
4490,692,26.7,3
4490,692,24.7,3
4490,692,21.5,3
4522,719,14,1
4522,719,12,1
5050,595,28.2,9
5050,595,32.8,9
5050,595,31.8,9
5050,592,34.5,10
5063,622,42.7,9
5063,622,42.6,9
5063,622,44.6,9
5063,636,44.5,10
5063,636,39.6,10
5063,636,40.2,10
5063,636,45.7,10
5063,659,37.6,11
5063,659,39.3,11
5063,659,39.9,11
5078,697,34.9,1
5078,697,36.6,1
5078,723,45.3,2
5078,723,47.6,2
5078,723,42.1,3
5078,723,53.5,3
5078,723,48.1,3
5078,723,45.6,3
5078,747,42.3,4
5078,747,41.7,4
5078,747,43.2,4
5078,754,40.6,5
5078,754,44.7,5
5078,754,39.4,5
5078,750,38,7
5078,750,33.5,7
5078,750,28.1,7
5078,781,26.2,8
5078,781,26.2,8
5078,781,20.4,8
5078,832,19.2,9
5078,832,23.3,9
5109,665,37.5,1
5109,665,39.7,1
5109,665,39,2
5109,665,38.1,2
5109,665,33.9,2
5109,665,31,3
5109,665,31.8,3
5109,665,31.6,3
5109,665,30.9,3
5109,666,40.5,5
5109,636,48.3,7
5109,636,50.7,7
5109,636,50.7,7
5109,662,40.2,8
5109,662,40.2,8
5108,695,37.7,1
5108,695,46.1,1
5108,692,47.6,2
5108,692,39.5,2
5108,692,43.9,2
5108,692,42.3,3
5108,692,43.8,3
5108,692,42.3,3
5108,692,38.4,3
5108,721,43.8,4
5108,721,44.9,4
5108,721,46.5,4
5108,708,41.3,5
5108,708,47.9,5
5108,708,44.6,5
5108,694,36.6,7
5108,694,30,7
5108,694,36.5,7
5108,700,30.5,8
5108,700,30.5,8
5108,700,36.2,8
5108,723,30.5,9
5108,723,30.1,9
5108,723,37.5,9
5108,759,35,10
5108,759,34.3,10
5108,759,32,10
5108,759,33.6,10
5108,775,31.5,11
5108,695,20,1
5108,692,47.4,2
5108,692,52.4,2
5108,692,43.5,2
5116,656,25.3,1
5116,656,27.7,1
5116,672,23.9,2
5116,672,25,2
5116,672,23.4,2
5116,672,21.9,3
5116,672,17.2,3
5116,672,17,3
5116,672,19.8,3
5116,670,17.3,4
5116,670,11.4,4
5131,732,29.2,1
5131,732,29,1
5131,747,23.2,2
5131,747,19.6,2
5131,747,14.2,2
5131,747,9.6,3
5131,653,47.8,4
5131,662,45.3,5
5131,662,51.7,5
5131,662,49.6,5
5131,680,54.7,7
5131,680,51.6,7
5131,680,56.8,7
5131,698,47.3,8
5131,698,47.3,8
5145,798,42,3
5145,798,43.5,3
5145,798,53.2,3
5145,629,53.8,4
5145,629,58.5,4
5145,629,56.2,4
5145,640,54.3,5
5145,640,56.4,5
5145,640,57,5
5145,614,51.5,7
5145,614,49.8,7
5145,614,48.8,7
5145,634,45.7,8
5145,634,45.7,8
5145,634,42.8,8
5145,664,47.1,9
5145,664,50.3,9
5145,664,49.7,9
5145,633,46,10
5145,633,46.4,10
5145,633,40.9,10
5145,633,47.2,10
5145,655,45.5,11
5145,655,42.3,11
5145,655,44.4,11
5145,680,36.9,12
5145,680,27.8,12
5141,670,32,2
5141,670,40.6,2
5141,670,41.8,3
5141,670,44.6,3
5141,670,45.3,3
5141,670,46.1,3
5141,661,50.9,4
5141,661,38.3,4
5141,661,41.2,4
5141,694,45.5,5
5141,694,48.8,5
5141,694,42,5
5141,682,42.7,7
5141,682,39.9,7
5141,682,43.4,7
5141,717,41,8
5141,717,41,8
5141,717,41,8
5141,747,39.2,9
5141,747,35,9
5141,747,33.2,9
5141,723,39.1,10
5141,723,36.7,10
5141,723,35.1,10
5141,723,35.6,10
5141,719,34.3,11
5141,719,32.3,11
5141,719,33,11
5141,752,31,12
5141,752,32,12
5141,837,34.1,1
5141,837,28,1
5141,837,25.3,1
5140,685,43.5,1
5140,685,37.7,1
5140,690,46.9,2
5140,690,45.4,2
5140,690,43.1,2
5140,690,41.9,3
5140,690,45.6,3
5140,690,43.4,3
5140,690,43,3
5140,709,45.3,4
5140,709,50.4,4
5140,709,49.5,4
5140,698,47.1,5
5140,698,50.8,5
5140,698,43.1,5
5140,676,45.7,7
5140,676,40.3,7
5140,676,48.6,7
5140,717,42.6,8
5140,717,42.6,8
5140,717,43.8,8
5140,735,46.6,9
5140,735,42.6,9
5140,735,25.9,9
5140,717,33.2,10
5140,717,41.1,10
5140,717,41.6,10
5140,717,45.1,10
5140,767,36.8,11
5140,767,40.6,11
5140,767,39.8,11
5140,788,39,12
5140,788,43.5,12
5140,685,39.1,1
5140,685,42.5,1
5140,685,42.6,1
5140,690,37.8,2
5140,690,31.7,2
5140,690,27.1,2
5121,711,30.6,1
5121,711,30.6,1
5121,660,31.5,2
5121,660,22.8,2
5121,604,37.5,4
5121,604,46,4
5121,604,49.8,4
5121,615,51.9,5
5121,615,55.1,5
5121,615,55.6,5
5121,638,55.4,7
5121,638,49.1,7
5121,641,38.7,12
5121,641,42,12
5121,711,43.2,1
5121,711,44.2,1
5121,711,40,1
5121,660,42,2
5121,660,40.9,2
5121,660,37.6,2
5171,649,21.8,2
5171,649,32.1,3
5171,649,34.6,3
5171,649,35.4,3
5171,649,36.6,3
5171,709,36.7,4
5171,709,37.6,4
5171,709,36,4
5171,715,36,5
5171,715,38.2,5
5171,715,32.5,5
5171,827,17.6,9
5171,757,21,10
5171,757,22,10
5171,757,23.6,10
5171,685,47.7,1
5171,685,48.8,1
5171,685,49.6,1
5171,649,53.1,2
5171,649,57.9,2
5171,649,50.4,2
5175,673,15.3,2
5175,673,28.8,2
5175,673,40.3,2
5175,673,38.6,3
5175,673,44.7,3
5175,673,45.4,3
5175,673,43.7,3
5175,729,47,4
5175,729,49.7,4
5175,729,47.6,4
5175,743,47.7,5
5175,743,55.2,5
5175,743,53.9,5
5175,726,50.7,7
5175,726,50.1,7
5175,726,55.1,7
5175,743,49.5,8
5175,743,49.5,8
5175,743,41.2,8
5175,735,24.1,9
5175,735,35.7,9
5175,735,41.5,9
5175,705,38.1,10
5175,705,37.2,10
5175,705,34.8,10
5175,705,33.5,10
5175,753,38.3,11
5175,753,37.5,11
5175,753,43.2,11
5175,738,37.5,12
5175,738,36.8,12
5175,685,39.6,1
5175,685,33.3,1
5175,685,33.1,1
5175,673,35,2
5175,673,36.6,2
5175,673,33.6,2
5176,642,31.8,1
5176,642,33,1
5176,663,32.1,2
5176,663,24.9,2
5176,663,34.8,2
5176,663,30.7,3
5176,663,33.5,3
5176,663,30.4,3
5176,663,26,3
5176,717,29.3,4
5176,717,30.3,4
5176,717,31.6,4
5176,735,27.6,5
5176,735,29.2,5
5176,735,27,5
5176,763,28.6,7
5176,763,26.6,7
5176,763,28.6,7
5176,784,27.6,8
5176,784,27.6,8
5176,784,23.8,8
5176,809,23.4,9
5176,809,23.7,9
5176,809,24.2,9
5176,817,21.3,10
5176,817,19.4,10
5176,817,18.7,10
5182,524,26.6,1
5182,524,0.5,1
5183,718,38.5,4
5183,718,53.6,4
5183,718,53.5,4
5183,705,56.7,5
5183,705,62.1,5
5183,705,60.4,5
5183,710,53.1,7
5183,710,48.5,7
5183,746,37.5,12
5183,746,42.1,12
5183,790,39.8,1
5183,790,38.4,1
5183,790,36.9,1
5183,772,36.7,2
5183,772,40.5,2
5183,772,35.6,2
5184,603,45.8,7
5184,603,39.8,7
5184,643,33,12
5184,643,33.7,12
5184,661,29.8,1
5184,661,34.2,1
5184,661,33.1,1
5184,624,26.9,2
5184,624,31,2
5184,624,30.1,2
5486,749,20.1,1
5486,749,20.4,1
5486,713,24.6,2
5486,713,16.5,2
5495,644,35.5,1
5495,644,36.9,1
5511,642,32.2,3
5511,642,34.4,3
5511,642,38,3
5511,551,41.3,4
5511,551,46.6,4
5511,551,44.2,4
5595,632,23.1,1
5595,632,23.2,1
5595,663,23.8,2
5595,663,22.5,2
5595,663,23.8,2
5595,663,23.1,3
5595,663,18.4,3
5595,663,21.5,3
6006,742,28.7,1
6006,742,27.3,1
6006,761,29.5,2
6006,761,30.8,2
6006,761,32.7,2
6006,761,29.9,3
6006,761,27.4,3
6006,761,26.8,3
6006,761,27.3,3
6006,805,40,9
6006,805,42.5,9
6006,805,44.4,9
6006,799,42.4,10
6006,799,41,10
6006,799,39.6,10
6006,799,37.1,10
6006,780,35.6,11
6006,780,36.7,11
6006,780,29.9,11
6006,775,35.1,12
6006,775,37.5,12
6006,742,34.7,1
6006,742,36.7,1
6006,742,31.9,1
6006,761,29.5,2
6006,761,30.9,2
6006,761,32,2
6008,683,22.5,1
6008,683,24.7,1
6008,695,27,2
6008,695,27.2,2
6008,695,23.1,2
6008,695,20.1,3
6008,695,24.9,3
6008,695,23.4,3
6008,695,21.9,3
6014,635,23.7,2
6014,635,36.6,3
6014,635,40.8,3
6014,635,45.9,3
6014,635,47.4,3
6014,639,53.2,4
6014,639,54.6,4
6014,639,49.9,4
6014,664,50.2,5
6014,664,49.8,5
6014,664,52.4,5
6014,637,53.5,7
6014,637,45.1,7
6014,637,48.6,7
6014,685,39.8,8
6014,685,39.8,8
6014,685,40.2,8
6014,704,38.2,9
6014,704,40.3,9
6014,704,46.6,9
6014,711,20.6,10
6014,711,39.4,10
6014,711,40.8,10
6014,711,37.7,10
6014,683,38.8,11
6014,683,33,11
6014,683,30.3,11
6060,614,24.8,3
6060,614,37.3,3
6060,614,39.3,3
6060,614,42.7,3
6060,630,40.2,4
6060,630,42.1,4
6060,630,40.5,4
6060,630,39.5,5
6060,630,39.8,5
6060,630,36.6,5
6060,631,38.4,7
6060,631,31.2,7
6060,631,38.6,7
6060,665,31.9,8
6060,665,31.9,8
6060,665,32.2,8
6060,680,28.6,9
6060,680,32.2,9
6060,680,29.2,9
6060,690,30.7,10
6079,627,28.5,3
6079,627,29.7,3
6079,627,34.6,3
6079,627,38.1,3
6079,661,35,4
6079,661,42,4
6079,661,36.7,4
6112,720,22.4,1
6112,720,22.2,1
6112,673,17.3,2
6112,675,44.3,4
6112,675,45.4,4
6112,675,45.2,4
6112,671,44.1,5
6112,671,48.8,5
6112,671,47,5
6112,721,28.6,11
6112,721,29.7,11
6112,721,31.9,11
6112,673,14.9,2
6112,673,32.4,2
6114,611,31.3,1
6114,611,33.1,1
6114,611,33.5,2
6114,611,28.4,2
6114,611,32.2,2
6114,611,32.9,3
6114,611,34.2,3
6114,611,34.2,3
6114,611,33.6,3
6114,652,33.7,4
6114,652,42.4,4
6114,652,34.2,4
6114,667,32,5
6114,667,34.9,5
6114,667,34.3,5
6114,688,28.9,7
6114,688,25.3,7
6114,688,21.8,7
6114,604,35.5,10
6114,604,36,10
6114,604,34.1,10
6114,604,33.3,10
6114,501,36.3,11
6115,808,23.5,1
6115,808,24.3,1
6115,824,21.7,2
6115,824,20.8,2
6115,824,18.31,2
6115,824,18.4,3
6115,643,15.1,7
6115,643,23.4,7
6115,643,33,7
6115,702,36,8
6115,702,36,8
6115,739,37.1,9
6115,739,33.3,9
6115,739,36.8,9
6115,770,40.1,10
6115,770,42.9,10
6115,770,42.2,10
6115,770,42,10
6115,810,41.8,11
6115,810,38.7,11
6115,810,41.4,11
6115,827,36,12
6115,827,34.1,12
6115,808,37.3,1
6115,808,35.6,1
6115,808,36.2,1
6115,824,27.4,2
6115,824,25.5,2
6115,824,25.2,2
6148,624,38.5,1
6148,624,34.9,1
6148,615,41.1,2
6148,615,35.7,2
6148,615,39.9,2
6148,615,34.1,3
6148,615,35.9,3
6148,615,34.9,3
6148,615,35.2,3
6148,609,39.9,4
6148,609,40.6,4
6148,609,40.1,4
6148,609,35.7,5
6148,609,38.5,5
6148,609,34.3,5
6148,595,28.8,7
6148,595,27.4,7
6148,595,32.4,7
6148,629,29.3,8
6148,629,29.3,8
6148,629,29,8
6148,654,28.4,9
6148,654,28.5,9
6148,654,33.5,9
6148,641,31,10
6148,641,31.5,10
6148,641,30.7,10
6148,641,30.5,10
6148,660,29.6,11
6148,660,27.6,11
6148,660,28.4,11
6148,679,27.8,12
6148,679,30.8,12
6148,624,25.2,1
6148,624,27.5,1
6148,624,26.4,1
6148,615,28.1,2
6148,615,26.9,2
6148,615,26.5,2
6120,750,28.3,1
6120,750,21.3,1
6120,767,25.8,2
6120,767,30.1,2
6120,767,28.9,2
6120,767,29.4,3
6120,767,22.8,3
6120,767,24.6,3
6120,767,26.5,3
6120,821,24.5,4
6120,821,28.7,4
6120,821,29.1,4
6120,750,36.7,1
6120,750,36.3,1
6120,750,41.8,1
6120,767,45.5,2
6120,767,49.3,2
6120,767,47.8,2
6129,690,25.5,1
6129,690,27.1,1
6129,684,24.6,2
6129,684,24.6,2
6129,684,25.8,2
6129,684,26.2,3
6129,684,23.4,3
6129,684,21.2,3
6129,684,24,3
6129,609,17.7,4
6129,609,19.4,4
6129,741,16.1,8
6129,741,16.1,8
6129,741,40.1,8
6129,686,40.3,9
6129,686,42.6,9
6129,686,36.8,9
6129,639,40.3,10
6129,639,44.3,10
6129,639,39,10
6129,639,41.9,10
6129,689,40.3,11
6129,689,35,11
6129,689,38.2,11
6129,687,35.5,12
6129,687,34.9,12
6129,690,33.7,1
6129,690,32.6,1
6129,690,30.3,1
6129,684,29.8,2
6129,684,26,2
6129,684,22.5,2
6125,651,33.5,1
6125,651,28.1,1
6125,680,31.9,2
6125,680,30.9,2
6125,680,30.5,2
6125,680,30.5,3
6125,680,9.6,3
6125,680,24.5,3
6125,680,27.2,3
6125,695,31,4
6125,695,32.8,4
6125,695,29.7,4
6125,678,31.1,5
6125,678,30.3,5
6125,678,27.9,5
6125,714,25.2,7
6125,714,25.2,7
6125,714,28.3,7
6125,735,22.3,8
6125,735,22.3,8
6125,735,21.9,8
6125,751,22.1,9
6125,751,24.4,9
6125,751,23,9
6125,768,21.8,10
6125,768,23.6,10
6125,768,25,10
6125,768,21.8,10
6125,812,21.4,11
6139,604,1.5,1
6139,599,31.8,2
6139,599,38.1,2
6139,599,44.4,2
6139,599,37.9,3
6139,599,40.2,3
6139,599,44.3,3
6139,599,37.3,3
6139,660,44.4,4
6139,660,44.5,4
6139,660,43.8,4
6139,655,41.6,5
6139,655,38.2,5
6139,655,37.5,5
6139,660,29.6,7
6139,660,32.8,7
6139,660,32.1,7
6139,697,26.4,8
6139,697,26.4,8
6139,697,29.6,8
6139,710,28.6,9
6139,710,25.8,9
6139,710,24.1,9
6139,709,26.2,10
6139,709,25.5,10
6139,709,30.5,10
6139,709,26.8,10
6139,757,27.8,11
6139,757,24.5,11
6139,757,25.7,11
6139,765,25.4,12
6139,765,25.4,12
6139,604,19.5,1
6139,604,19.2,1
6139,604,18.5,1
6139,599,21.1,2
6139,599,16.4,2
6139,599,11.1,2
6131,656,38.7,1
6131,656,39.9,1
6131,647,41.6,2
6131,647,23.4,2
6131,647,42.9,2
6131,647,30.6,3
6131,647,37.3,3
6131,647,35,3
6131,647,39.5,3
6131,675,37.7,4
6131,675,41.9,4
6131,675,38.6,4
6131,694,36.8,5
6131,694,39.1,5
6131,694,33.8,5
6131,704,53.2,9
